type,n0,exit_found,exit_depth,p_stab,L,exit_k,K,before_exit,after_exit,max_orbit,strong_drop,log2_n0,exit_over_log2_n0,L_over_log2_n0
R_RECORD,1,True,1,1,0,2,2,1,1,1,False,,,
L_RECORD,1,True,1,1,0,2,2,1,1,1,False,,,
R_RECORD,3,True,2,1,1,4,5,5,1,5,True,1.584962500721156,1.261859507142915,0.6309297535714575
L_RECORD,3,True,2,1,1,4,5,5,1,5,True,1.584962500721156,1.261859507142915,0.6309297535714575
R_RECORD,7,True,4,2,2,3,7,13,5,17,True,2.807354922057604,1.4248287484320887,0.7124143742160444
L_RECORD,7,True,4,2,2,3,7,13,5,17,True,2.807354922057604,1.4248287484320887,0.7124143742160444
R_RECORD,27,True,37,3,34,3,59,61,23,3077,True,4.754887502163468,7.781466960714642,7.150537207143185
L_RECORD,27,True,37,3,34,3,59,61,23,3077,True,4.754887502163468,7.781466960714642,7.150537207143185
R_RECORD,703,True,51,7,44,6,83,3349,157,83501,True,9.457380879072534,5.392613520816713,4.652450880704615
L_RECORD,703,True,51,7,44,6,83,3349,157,83501,True,9.457380879072534,5.392613520816713,4.652450880704615
R_RECORD,10087,True,66,11,55,6,108,20501,961,828305,True,13.300209542232352,4.962327833289335,4.1352731944077785
L_RECORD,10087,True,66,11,55,6,108,20501,961,828305,True,13.300209542232352,4.962327833289335,4.1352731944077785
R_RECORD,35655,True,85,10,75,3,135,78413,29405,13721237,True,15.121816783550953,5.621017713457578,4.959721511874333
L_RECORD,35655,True,85,10,75,3,135,78413,29405,13721237,True,15.121816783550953,5.621017713457578,4.959721511874333
R_RECORD,270271,True,103,13,90,9,170,428885,2513,8216025965,True,18.044047193853938,5.708253746702861,4.987794535953957
L_RECORD,270271,True,103,13,90,9,170,428885,2513,8216025965,True,18.044047193853938,5.708253746702861,4.987794535953957
R_RECORD,362343,True,104,14,90,3,166,431245,161717,188445041,True,18.466996498018926,5.631668366383064,4.873559163216113
R_RECORD,381727,True,109,14,95,3,174,431245,161717,188445041,True,18.542181708117567,5.878488395585131,5.123453188812729
L_RECORD,381727,True,109,14,95,3,174,431245,161717,188445041,True,18.542181708117567,5.878488395585131,5.123453188812729
R_RECORD,626331,True,111,16,95,3,176,1592045,597017,2407427729,True,19.256565760755294,5.764267698564248,4.933382264536968
R_RECORD,1027431,True,115,15,100,7,183,26442197,619739,5936080241,True,19.97061007826725,5.7584620374290525,5.0073582934165675
L_RECORD,1027431,True,115,15,100,7,183,26442197,619739,5936080241,True,19.97061007826725,5.7584620374290525,5.0073582934165675
R_RECORD,1126015,True,141,16,125,10,227,33497429,98137,30079718549,True,20.102794615464763,7.013950184395304,6.218040943612858
L_RECORD,1126015,True,141,16,125,10,227,33497429,98137,30079718549,True,20.102794615464763,7.013950184395304,6.218040943612858
R_RECORD,8088063,True,155,19,136,4,247,17148613,3215365,5385051557,True,22.947362804131075,6.754588809311731,5.926606955267067
L_RECORD,8088063,True,155,19,136,4,247,17148613,3215365,5385051557,True,22.947362804131075,6.754588809311731,5.926606955267067
R_RECORD,13421671,True,181,16,165,4,287,65787557,12335167,530568751445,True,23.67806096267498,7.644207027142982,6.96847601921874
L_RECORD,13421671,True,181,16,165,4,287,65787557,12335167,530568751445,True,23.67806096267498,7.644207027142982,6.96847601921874
R_RECORD,20638335,True,184,19,165,5,293,85354357,8001971,29747737205,True,24.298823250082453,7.572383160545671,6.790452290706716
R_RECORD,26716671,True,188,19,169,10,305,69921109,204847,1232286207029,True,24.67123691786938,7.620209745699113,6.850082165016756
L_RECORD,26716671,True,188,19,169,10,305,69921109,204847,1232286207029,True,24.67123691786938,7.620209745699113,6.850082165016756
R_RECORD,56924955,True,194,20,174,3,308,106061117,39772919,2403015422417,True,25.762557910102597,7.530308157945929,6.753987729291709
L_RECORD,56924955,True,194,20,174,3,308,106061117,39772919,2403015422417,True,25.762557910102597,7.530308157945929,6.753987729291709
R_RECORD,63728127,True,237,23,214,3,376,132056237,49521089,322205345153,True,25.925426924090416,9.141604521843956,8.254444589344331
L_RECORD,63728127,True,237,23,214,3,376,132056237,49521089,322205345153,True,25.925426924090416,9.141604521843956,8.254444589344331
